,State,Year,Title,Summary,ID,Measure_Type,Topic_Areas,Election,Percent_Yes,Ballot_Type,Pass
0,Alabama,2000,Abolish the prohibition of interracial marriages,"Legislative Constitutional Amendment<BR>  Proposing an amendment to the Constitution of Alabama of 1901, to abolish the prohibition of interracial marriages. (Proposed by Act No. 1999-321)",Proposed Amendment No. 2,Legislative Referendum,Civil & Constitutional Law,General,0.6,,1
1,Alabama,2000,"Authorize the Legislature to fix, alter and regulate court costs in Greene County","Legislative Constitutional Amendment<BR>  Relating to Greene County, proposing an amendment to the Constitution of Alabama of 1901, to authorize the Legislature to fix, alter, and regulate court costs in the county. (Proposed by Act No. 2000-61)",Proposed Amendment No. 9,Legislative Referendum,Judiciary,General,0.57,,1
2,Alabama,2000,Authorize Winston County Commission to levy an ad valorem tax for maintenance of public roads and volunteer fire protection,"Legislative Constitutional Amendment<BR>  Proposing an amendment to the Constitution of Alabama of 1901, relating to Winston County, to authorize the Winston County Commission to levy a three-mill ad valorem tax for maintenance of public roads and for volunteer fire protection. (Proposed by Act No. 2000-405)",Proposed Amendment No. 14,Legislative Referendum,Local Government,General,0.63,,1
3,Alabama,2000,"Authorizing the operation of bingo games by nonprofit organizations for charitable, educational, and other lawful purposes in the Town of White Hall","Legislative Constitutional Amendment<BR>  Relating to The Town of White Hall located in Lowndes County, proposing an amendment to the Constitution of Alabama of 1901, authorizing the operation of bingo games by nonprofit organizations for charitable, educational, and other lawful purposes. (Proposed by Act No. 2000-401)",Proposed Amendment No. 11,Legislative Referendum,Human Services,General,0.57,,1
4,Alabama,2000,Establish the County and Municipal Government Capital Improvement Trust Fund and the Alabama Capital Improvement Trust Fund; $350 Million Bond Issue,"Legislative Constitutional Amendment<BR>  Proposing an amendment to the Constitution of Alabama of 1901, to establish the County and Municipal Government Capital Improvement Trust Fund and the Alabama Capital Improvement Trust Fund to be administered in accordance with the provisions of this amendment; to redistribute a portion of the Oil and Gas Capital Payments now being paid into the Alabama Trust Fund under Amendment No. 450 to the Constitution of Alabama of 1901 to the funds created by this Amendment; and to authorize the issuance of General Obligation Bonds in an aggregate principal amount not exceeding $350 million for the purpose of: (i) making substantial capital improvements to the state dock facilities at the Port of Mobile, (ii) promoting economic development and industrial recruitment in this State, (iii) providing the local government match monies required to issue federal grant revenue bonds for road and bridge improvements and (iv) providing funds to municipal governments for infrastructure improvements; and to appropriate monies in the Alabama Capital Improvement Trust Fund for the payment of debt service on General Obligation Bonds authorized by this amendment. (Proposed by Act No. 2000-491)",Proposed Amendment No. 1,Legislative Referendum,Bond Measures,General,0.63,,1
5,Alabama,2000,"Phase out the supernumerary system for certain public officials in Chilton County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System","Legislative Constitutional Amendment<BR>  Relating to Chilton County, proposing an amendment to the Constitution of Alabama of 1901, to phase out the supernumerary system for certain election public officials and allow them to participate in the Employees' Retirement System. (Proposed by Act No. 1999-319)",Proposed Amendment No. 6,Legislative Referendum,Labor & Employment,General,0.55,,1
6,Alabama,2000,"Phase out the supernumerary system for certain public officials in Clay County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System","Legislative Constitutional Amendment<BR>  Relating to Clay County, proposing an amendment to the Constitution of Alabama of 1901, to phase out the supernumerary system for certain public officials and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System. (Proposed by Act No. 2000-273)",Proposed Amendment No. 7,Legislative Referendum,Labor & Employment,General,0.54,,1
7,Alabama,2000,"Phase out the supernumerary system for certain public officials in Lowndes County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System","Legislative Constitutional Amendment<BR>  Relating to Lowndes County, proposing an amendment to the Constitution of Alabama of 1901, to phase out the supernumerary system for certain elected public officials and allow them to participate in the Employees' Retirement System. (Proposed by Act No. 1999-369).",Proposed Amendment No. 10,Legislative Referendum,Labor & Employment,General,0.54,,1
8,Alabama,2000,"Phase out the supernumerary system for certain public officials in Marion County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System","Legislative Constitutional Amendment<BR>  Relating to Marion County, proposing an amendment to the Constitution of Alabama of 1901, to phase out the supernumerary system for certain elected public officials and allow them to participate in the Employees' Retirement System. (Proposed by Act No. 1999-302)",Proposed Amendment No. 12,Legislative Referendum,Labor & Employment,General,0.53,,1
9,Alabama,2000,"Phase out the supernumerary system for certain public officials in Sumter County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System","Legislative Constitutional Amendment<BR>  Relating to Sumter County, proposing an amendment to the Constitution of Alabama of 1901, to phase out the supernumerary system for certain elected public officials and allow them to participate in the Employees' Retirement System. (Proposed by Act No. 2000-62)",Proposed Amendment No. 13,Legislative Referendum,Labor & Employment,General,0.54,,1
